time,temperature
2026-07-05 20:40:00-04:00,23.399999999999793
2026-07-05 20:50:00-04:00,23.467216494845193
2026-07-05 21:00:00-04:00,23.757113402061847
2026-07-05 21:10:00-04:00,23.399999999999878
2026-07-05 21:20:00-04:00,23.418144329896766
2026-07-05 21:30:00-04:00,23.39999999999991
2026-07-05 21:40:00-04:00,23.399999999999793
2026-07-05 21:50:00-04:00,23.39999999999994
2026-07-05 22:00:00-04:00,23.587654320987454
2026-07-05 22:10:00-04:00,23.599175257731925
2026-07-05 22:20:00-04:00,23.399999999999793
2026-07-05 22:30:00-04:00,23.410893246187328
2026-07-05 22:40:00-04:00,23.399999999999793
2026-07-05 22:50:00-04:00,23.436024844720457
2026-07-05 23:00:00-04:00,23.619875776397425
2026-07-05 23:10:00-04:00,23.39999999999994
2026-07-05 23:20:00-04:00,23.399999999999793
2026-07-05 23:30:00-04:00,23.399999999999917
2026-07-05 23:40:00-04:00,23.399999999999793
2026-07-05 23:50:00-04:00,23.39999999999988
2026-07-06 00:00:00-04:00,23.399999999999793
2026-07-06 00:10:00-04:00,23.399999999999835
2026-07-06 00:20:00-04:00,23.593775933609916
2026-07-06 00:30:00-04:00,23.3999999999998
2026-07-06 00:40:00-04:00,23.399999999999796
2026-07-06 00:50:00-04:00,23.399999999999796
2026-07-06 01:00:00-04:00,23.399999999999817
2026-07-06 01:10:00-04:00,23.49012345678995
2026-07-06 01:20:00-04:00,23.619087136929313
2026-07-06 01:30:00-04:00,23.399999999999796
2026-07-06 01:40:00-04:00,23.399999999999878
2026-07-06 01:50:00-04:00,23.399999999999793
2026-07-06 02:00:00-04:00,23.399999999999903
2026-07-06 02:10:00-04:00,23.399999999999796
2026-07-06 02:20:00-04:00,23.403292181069887
2026-07-06 02:30:00-04:00,23.399999999999796
2026-07-06 02:40:00-04:00,23.399999999999945
2026-07-06 02:50:00-04:00,23.399999999999793
2026-07-06 03:00:00-04:00,23.399999999999945
2026-07-06 03:10:00-04:00,23.399999999999793
2026-07-06 03:20:00-04:00,23.67685950413223
2026-07-06 03:30:00-04:00,23.399999999999793
2026-07-06 03:40:00-04:00,23.39999999999995
2026-07-06 03:50:00-04:00,23.399999999999796
2026-07-06 04:00:00-04:00,23.399999999999945
2026-07-06 04:10:00-04:00,23.399999999999793
2026-07-06 04:20:00-04:00,23.399999999999917
2026-07-06 04:30:00-04:00,23.59128630705385
2026-07-06 04:40:00-04:00,23.409053497942278
2026-07-06 04:50:00-04:00,23.553879310344687
2026-07-06 05:00:00-04:00,23.484536082474044
2026-07-06 05:10:00-04:00,23.399999999999793
2026-07-06 05:20:00-04:00,23.475619834710596
2026-07-06 05:30:00-04:00,23.3999999999998
2026-07-06 05:40:00-04:00,23.399999999999793
2026-07-06 05:50:00-04:00,23.399999999999807
2026-07-06 06:00:00-04:00,23.399999999999793
2026-07-06 06:10:00-04:00,23.399999999999828
2026-07-06 06:20:00-04:00,23.399999999999793
2026-07-06 06:30:00-04:00,23.483298969072028
2026-07-06 06:40:00-04:00,23.79999999999988
2026-07-06 06:50:00-04:00,23.630165289256084
2026-07-06 07:00:00-04:00,23.399999999999796
2026-07-06 07:10:00-04:00,23.39999999999991
2026-07-06 07:20:00-04:00,23.399999999999793
2026-07-06 07:30:00-04:00,23.399999999999938
2026-07-06 07:40:00-04:00,23.399999999999793
2026-07-06 07:50:00-04:00,23.399999999999945
2026-07-06 08:00:00-04:00,23.399999999999793
2026-07-06 08:10:00-04:00,23.39999999999995
2026-07-06 08:20:00-04:00,23.399999999999793
2026-07-06 08:30:00-04:00,23.39999999999995
2026-07-06 08:40:00-04:00,23.399999999999793
2026-07-06 08:50:00-04:00,23.399999999999945
2026-07-06 09:00:00-04:00,23.399999999999793
2026-07-06 09:10:00-04:00,23.399999999999945
2026-07-06 09:20:00-04:00,23.399999999999793
2026-07-06 09:30:00-04:00,23.399999999999917
2026-07-06 09:40:00-04:00,23.399999999999793
2026-07-06 09:50:00-04:00,23.399999999999892
2026-07-06 10:00:00-04:00,23.3999999999998
2026-07-06 10:10:00-04:00,23.399999999999846
2026-07-06 10:20:00-04:00,23.399999999999793
2026-07-06 10:30:00-04:00,23.39999999999982
2026-07-06 10:40:00-04:00,23.3999999999998
2026-07-06 10:50:00-04:00,23.399999999999793
2026-07-06 11:00:00-04:00,23.399999999999796
2026-07-06 11:10:00-04:00,23.399999999999793
2026-07-06 11:20:00-04:00,23.39999999999982
2026-07-06 11:30:00-04:00,23.399999999999793
2026-07-06 11:40:00-04:00,23.399999999999846
2026-07-06 11:50:00-04:00,23.52798353909436
2026-07-06 12:00:00-04:00,23.612783505154486
2026-07-06 12:10:00-04:00,23.500823045267218
2026-07-06 12:20:00-04:00,23.690948275862034
2026-07-06 12:30:00-04:00,23.399999999999796
2026-07-06 12:40:00-04:00,23.399999999999945
2026-07-06 12:50:00-04:00,23.399999999999793
2026-07-06 13:00:00-04:00,23.39999999999996
2026-07-06 13:10:00-04:00,23.399999999999793
2026-07-06 13:20:00-04:00,23.371734475374694
